limit_saver,protect_business,avg_revenue,load_factor,avg_spoilage,avg_denied_business,avg_denied_flex
80,18,37173.183333333334,0.867747037037037,23.805533333333333,0.4382333333333333,0.14146666666666666
80,20,37182.072,0.8676205555555555,23.8283,0.3971,0.20536666666666667
80,22,37188.96666666667,0.8674035185185185,23.867366666666666,0.34973333333333334,0.2918
80,24,37190.450666666664,0.8670490740740742,23.931166666666666,0.2995333333333333,0.4058
80,26,37184.40466666667,0.8665062962962964,24.028866666666666,0.24576666666666666,0.5572666666666667
80,28,37166.23,0.86571,24.1722,0.19273333333333334,0.7536333333333334
80,30,37131.88733333333,0.8645992592592593,24.372133333333334,0.14373333333333332,1.0025666666666666
80,32,37076.44266666667,0.8630968518518519,24.642566666666667,0.10243333333333333,1.3143
80,34,36995.45,0.8611211111111111,24.9982,0.07056666666666667,1.7018
80,36,36889.626,0.8586655555555556,25.4402,0.0453,2.1690666666666667
80,38,36756.488666666664,0.8556807407407407,25.97746666666667,0.0271,2.7245333333333335
80,40,36593.804,0.8521094444444445,26.6203,0.014733333333333333,3.3797333333333333
82,0,37271.03866666667,0.8779577777777777,21.9676,0.7213333333333334,0.0068
82,2,37272.03466666667,0.8779577777777777,21.9676,0.7185666666666667,0.009566666666666666
82,4,37273.58266666667,0.8779577777777777,21.9676,0.7142666666666667,0.013866666666666666
82,6,37275.84533333333,0.8779574074074074,21.967666666666666,0.7079333333333333,0.020266666666666665
82,8,37279.115333333335,0.8779557407407408,21.967966666666666,0.6986333333333333,0.029866666666666666
82,10,37283.75,0.8779509259259259,21.968833333333333,0.6851333333333334,0.04423333333333333
82,12,37290.333333333336,0.8779418518518519,21.970466666666667,0.6656666666666666,0.06533333333333333
